ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-03-11,9797.169012024344,-2617.8768496855014,15597.233359864591,9797.169012024344,9797.169012024344,-2990.7442371485895,-2990.7442371485895,-2990.7442371485895,-5378.716804080269,-5378.716804080269,-5378.716804080269,2387.97256693168,2387.97256693168,2387.97256693168,0.0,0.0,0.0,6806.424774875754
2017-03-12,9869.501224711517,-1437.6847602067833,16352.678176567408,9869.501224711517,9869.501224711517,-1824.2624798043196,-1824.2624798043196,-1824.2624798043196,-4333.254016901865,-4333.254016901865,-4333.254016901865,2508.9915370975446,2508.9915370975446,2508.9915370975446,0.0,0.0,0.0,8045.2387449071975
2017-03-13,9941.833437398693,7269.44213312468,26087.17626528186,9941.833437398693,9941.833437398693,5928.541472914397,5928.541472914397,5928.541472914397,3310.454895361576,3310.454895361576,3310.454895361576,2618.0865775528205,2618.0865775528205,2618.0865775528205,0.0,0.0,0.0,15870.37491031309
2017-03-14,10014.165650085864,6429.342328440139,25230.727994412988,10014.165650085864,10014.165650085864,5688.8936070805785,5688.8936070805785,5688.8936070805785,2978.4511671184714,2978.4511671184714,2978.4511671184714,2710.4424399621066,2710.4424399621066,2710.4424399621066,0.0,0.0,0.0,15703.059257166442
2017-03-15,10086.498555956625,6242.075673428346,24285.769310365602,10086.498555956625,10086.498555956625,4970.213109846059,4970.213109846059,4970.213109846059,2188.719426898798,2188.719426898798,2188.719426898798,2781.493682947261,2781.493682947261,2781.493682947261,0.0,0.0,0.0,15056.711665802683
2017-03-16,10158.831461827383,4515.302891652885,23481.780697813356,10158.831461827383,10158.831461827383,3906.4121570843567,3906.4121570843567,3906.4121570843567,1079.3357269093456,1079.3357269093456,1079.3357269093456,2827.076430175012,2827.076430175012,2827.076430175012,0.0,0.0,0.0,14065.24361891174
2017-03-17,10231.164367698146,3201.388115053592,22723.966644643217,10231.164367698146,10231.164367698146,2998.5789921698874,2998.5789921698874,2998.5789921698874,155.0096046944884,155.0096046944884,155.0096046944884,2843.5693874753993,2843.5693874753993,2843.5693874753993,0.0,0.0,0.0,13229.743359868033
2017-03-18,10303.497273568906,-1141.3701884300208,17555.162841480815,10303.497273568906,10303.497273568906,-2550.6969219124876,-2550.6969219124876,-2550.6969219124876,-5378.716804081324,-5378.716804081324,-5378.716804081324,2828.019882168836,2828.019882168836,2828.019882168836,0.0,0.0,0.0,7752.800351656419
2017-03-19,10375.830179439668,-779.0819606343287,18855.889224120398,10375.830179439668,10375.830179439668,-1555.0028413312991,-1555.0028413312991,-1555.0028413312991,-4333.254016898814,-4333.254016898814,-4333.254016898814,2778.251175567516,2778.251175567516,2778.251175567516,0.0,0.0,0.0,8820.827338108369
2017-03-20,10448.163085310425,5824.567283605485,25690.699924025183,10448.163085310425,10448.163085310425,6003.402787879972,6003.402787879972,6003.402787879972,3310.4548953700055,3310.4548953700055,3310.4548953700055,2692.947892509967,2692.947892509967,2692.947892509967,0.0,0.0,0.0,16451.565873190397
